用户信息:
,username,tester1
,usertype,0
,ibbranchid,HTCC_NJ


套利对信息:
,pairid,0
,firstcontractname,a1209
,secondcontractname,a1301
,productid,010001020707
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP a1209&a1301
,storagedays,121
,firstcontractmargin,0.13
,secondcontractmargin,0.13
,vatrate,0.13
,delivercost,120

,pairid,1
,firstcontractname,c1205
,secondcontractname,c1209
,productid,010001020808
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP c1205&c1209
,storagedays,124
,firstcontractmargin,0.13
,secondcontractmargin,0.13
,vatrate,0.13
,delivercost,30

,pairid,2
,firstcontractname,c1209
,secondcontractname,c1301
,productid,010001020808
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP c1209&c1301
,storagedays,121
,firstcontractmargin,0.13
,secondcontractmargin,0.13
,vatrate,0.13
,delivercost,30

,pairid,3
,firstcontractname,CF205
,secondcontractname,CF209
,productid,010001020303
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP CF205&CF209
,storagedays,124
,firstcontractmargin,0.17
,secondcontractmargin,0.17
,vatrate,0.13
,delivercost,60

,pairid,4
,firstcontractname,CF209
,secondcontractname,CF301
,productid,010001020303
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP CF209&CF301
,storagedays,121
,firstcontractmargin,0.17
,secondcontractmargin,0.17
,vatrate,0.13
,delivercost,60

,pairid,5
,firstcontractname,ER209
,secondcontractname,ER301
,productid,010001020606
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP ER209&ER301
,storagedays,121
,firstcontractmargin,0.15
,secondcontractmargin,0.15
,vatrate,0.13
,delivercost,30

,pairid,6
,firstcontractname,l1205
,secondcontractname,l1209
,productid,010001021010
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP l1205&l1209
,storagedays,124
,firstcontractmargin,0.14
,secondcontractmargin,0.14
,vatrate,0.17
,delivercost,30

,pairid,7
,firstcontractname,l1209
,secondcontractname,l1301
,productid,010001021010
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP l1209&l1301
,storagedays,121
,firstcontractmargin,0.14
,secondcontractmargin,0.14
,vatrate,0.17
,delivercost,30

,pairid,8
,firstcontractname,RO209
,secondcontractname,RO301
,productid,010001020505
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP RO209&RO301
,storagedays,121
,firstcontractmargin,0.15
,secondcontractmargin,0.15
,vatrate,0.13
,delivercost,15

,pairid,9
,firstcontractname,SR205
,secondcontractname,SR209
,productid,010001020202
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP SR205&SR209
,storagedays,124
,firstcontractmargin,0.16
,secondcontractmargin,0.16
,vatrate,0.17
,delivercost,30

,pairid,10
,firstcontractname,TA205
,secondcontractname,TA209
,productid,010001020404
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP TA205&TA209
,storagedays,124
,firstcontractmargin,0.17
,secondcontractmargin,0.17
,vatrate,0.17
,delivercost,30

,pairid,11
,firstcontractname,v1205
,secondcontractname,v1209
,productid,010001021313
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP v1205&v1209
,storagedays,124
,firstcontractmargin,0.13
,secondcontractmargin,0.13
,vatrate,0.17
,delivercost,30

,pairid,12
,firstcontractname,v1209
,secondcontractname,v1301
,productid,010001021313
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP v1209&v1301
,storagedays,121
,firstcontractmargin,0.13
,secondcontractmargin,0.13
,vatrate,0.17
,delivercost,30

,pairid,13
,firstcontractname,WS209
,secondcontractname,WS301
,productid,010001020101
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP WS209&WS301
,storagedays,121
,firstcontractmargin,0.16
,secondcontractmargin,0.16
,vatrate,0.13
,delivercost,30

,pairid,14
,firstcontractname,y1205
,secondcontractname,y1209
,productid,010001021414
,strategyid,010001
,isinstrumentsupport,1
,strategytypeid,0
,symbol,SP y1205&y1209
,storagedays,124
,firstcontractmargin,0.14
,secondcontractmargin,0.14
,vatrate,0.13
,delivercost,30


合约信息:
,contractname,a1209
,commodityname,a
,uplimitprice,4867
,downlimitprice,4405
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,161
,lendrate,-1
,actualmarginrate,0.13

,contractname,a1301
,commodityname,a
,uplimitprice,4956
,downlimitprice,4484
,daystolasttradedate,281
,oilimit,0
,daystolastdeliverdate,282
,lendrate,-1
,actualmarginrate,0.13

,contractname,c1205
,commodityname,c
,uplimitprice,2588
,downlimitprice,2342
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,37
,lendrate,-1
,actualmarginrate,0.13

,contractname,c1209
,commodityname,c
,uplimitprice,2577
,downlimitprice,2333
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,161
,lendrate,-1
,actualmarginrate,0.13

,contractname,c1301
,commodityname,c
,uplimitprice,2474
,downlimitprice,2240
,daystolasttradedate,281
,oilimit,0
,daystolastdeliverdate,282
,lendrate,-1
,actualmarginrate,0.13

,contractname,CF205
,commodityname,CF
,uplimitprice,21865
,downlimitprice,18995
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,38
,lendrate,-1
,actualmarginrate,0.17

,contractname,CF209
,commodityname,CF
,uplimitprice,22655
,downlimitprice,19685
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,162
,lendrate,-1
,actualmarginrate,0.17

,contractname,CF301
,commodityname,CF
,uplimitprice,22945
,downlimitprice,19935
,daystolasttradedate,281
,oilimit,0
,daystolastdeliverdate,283
,lendrate,-1
,actualmarginrate,0.17

,contractname,ER209
,commodityname,ER
,uplimitprice,2838
,downlimitprice,2516
,daystolasttradedate,164
,oilimit,0
,daystolastdeliverdate,147
,lendrate,-1
,actualmarginrate,0.15

,contractname,ER301
,commodityname,ER
,uplimitprice,2904
,downlimitprice,2574
,daystolasttradedate,289
,oilimit,0
,daystolastdeliverdate,268
,lendrate,-1
,actualmarginrate,0.15

,contractname,l1205
,commodityname,l
,uplimitprice,10945
,downlimitprice,9905
,daystolasttradedate,36
,oilimit,0
,daystolastdeliverdate,37
,lendrate,-1
,actualmarginrate,0.14

,contractname,l1209
,commodityname,l
,uplimitprice,11245
,downlimitprice,10175
,daystolasttradedate,158
,oilimit,0
,daystolastdeliverdate,161
,lendrate,-1
,actualmarginrate,0.14

